Date,Type,Category,Description,Amount
2023-12-01,income,Salary,December Paycheck,3500.00
2023-12-05,expense,Groceries,Weekly shopping,120.50
2023-12-07,expense,Transportation,Gas refill,45.00
2023-12-10,expense,Entertainment,Movie tickets,25.00
2023-12-12,expense,Dining,Dinner with friends,78.25
2023-12-15,income,Freelance,Website project,550.00
2023-12-18,expense,Shopping,Christmas gifts,210.75
2023-12-20,expense,Utilities,Electricity bill,95.30
2023-12-22,expense,Healthcare,Pharmacy,32.40
2023-12-25,expense,Groceries,Holiday dinner shopping,154.20 
